 / District,Total ,Land , Inland waters,
Sri Lanka,65610 ,62705 ,2905 ,                                          
Western Province,3684 ,3593 ,91 ,
Colombo,698.7 ,675.7 ,23 ,                                          
Gampaha,1386.6 ,1340.6 ,46 ,                                          
Kalutara,1597.6 ,1575.6 ,22 ,                                          
Central Province,5674 ,5575 ,99 ,
Kandy,1939.5 ,1916.5 ,23 ,                                          
Matale,1993.3 ,1952.3 ,41 ,                                          
Nuwara Eliya,1741.2 ,1706.2 ,35 ,                                          
Southern Province,5544 ,5383 ,161 ,                                          
Galle,1651.6 ,1616.6 ,35 ,                                          
Matara,1282.5 ,1269.5 ,13 ,                                          
Hambantota,2609.3 ,2496.3 ,113 ,                                          
Northern Province,8884 ,8290 ,594 ,                                          
Jaffna,1025.3 ,929.3 ,96 ,                                          
Kilinochchi,1279.3 ,1205.3 ,74 ,                                          
Mannar,1996.2 ,1880.2 ,116 ,                                          
Vavuniya,1966.9 ,1860.9 ,106 ,                                          
Mullaitivu,2616.9 ,2414.9 ,202 ,                                          
Eastern Province,9996 ,9361 ,635 ,                                          
Batticaloa,2854.3 ,2610.3 ,244 ,                                          
Ampara,4414.9 ,4221.9 ,193 ,                                          
Trincomalee,2726.8 ,2528.8 ,198 ,                                          
North-Western Province ,7888.2 ,7506 ,382 ,                                          
Kurunegala,4815.8 ,4623.8 ,192 ,                                          
Puttalam,3072.4 ,2882.4 ,190 ,                                          
North Central Province,10472 ,9741 ,731 ,                                          
Anuradhapura,7179.3 ,6664.3 ,515 ,                                          
Polonnaruwa,3293.2 ,3077.2 ,216 ,                                          
Uva Province ,8500 ,8335 ,165 ,                                          
Badulla,2861.3 ,2827.3 ,34 ,                                          
Moneragala,5638.7 ,5507.7 ,131 ,                                          
Sabaragamuwa Province,4968.2 ,4921.2 ,47 ,
Ratnapura,3275.4 ,3236.4 ,39 ,                                          
Kegalle,1692.8 ,1684.8 ,8 ,                                          
,,,,
,,,,
,,,,
, ,,,
