Year,Colombo,Western Province,Central Province,Southern Province,Nothern Province,Eastern Province,North Western Province,North Central,Uva province,Sabaragamuwa Province
1871,636.3770904,693.6023749,65.57847534,74.04792866,60.16164053,57.18961649,36.66400213,33.2622934,50.13413317,40.13248801
1881,749.5930147,720.2653306,84.96860987,80.53130225,62.67068758,58.80269202,39.08872902,33.50867467,54.53725255,45.90343819
1891,856.7411573,745.5923554,85.13004484,90.99015419,64.69722557,61.02467685,34.22595257,34.45313623,53.75740852,52.54815899
1901,1022.347196,789.6224139,111.7130045,105.2944455,67.31483715,63.71669693,37.19690914,34.84323991,57.05674865,65.39055515
1911,1223.61995,841.2784116,120.5919283,116.8121865,70.76477684,64.79564149,46.16306954,35.58238374,60.65602879,83.00820938
1921,1366.138819,880.3822246,128.7533632,124.6888352,71.3920386,65.76775985,51.9317879,36.62950416,62.71961608,95.87092579
1931,1600.118396,935.5450412,170.9775785,143.2844139,74.28709288,67.86155325,57.59392486,36.72189714,71.03395321,117.5323092
1946,2101.968329,1055.750997,203.6233184,178.5992941,84.02171291,74.98686038,70.3570477,41.04383534,79.31229754,151.4671218
1953,2528.784964,1154.665553,245.1479821,209.7900799,95.01085645,83.03087277,91.3535838,50.26260138,90.67402519,181.500447
1963,3266.834394,1323.493831,304.3766816,265.7811629,115.60193,58.35914966,153.8902212,40.41679499,78.46430714,228.5011786
1971,3954.861625,1480.159569,350.2600897,308.7311908,131.681544,76.64779404,187.0503597,56.71902269,96.98860228,267.434772
1981,2514.72547,1090.954634,360.4125561,349.7306335,148.3100121,104.1662216,227.0583533,87.20870547,109.730054,301.1460619
2001,3331.804055,1497.689953,434.7802691,423.2398291,125.5729795,151.6504647,289.088729,113.4072477,141.2597481,366.0286109
2012,3418.395738,1620.292235,458.9632287,457.8729333,127.7165259,165.7280205,315.7580602,129.3060261,151.1577684,389.9211574
